,658,690,637,XLK,SHV,700,704,QQQ,IEI,LQD,GLD,127,143,603,702,712,170,OIL,701
,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,closingIndexPrice
2014-09-15,338.87,380.93,245.31,35.148704528808594,95.95036315917969,431.93,537.5,91.03877258300781,103.70287322998047,85.3405532836914,118.63999938964844,1941.47,901.26,298.61,320.94,317.75,1345.17,41.25600051879883,279.86
2014-09-16,339.75,381.88,244.95,35.412445068359375,95.95036315917969,433.2,540.05,91.83349609375,103.77139282226562,85.3260269165039,118.83000183105469,1947.93,901.94,298.82,321.1,317.93,1345.84,41.99369812011719,279.85
2014-09-17,340.04,382.01,244.91,35.48276901245117,95.95036315917969,433.39,540.56,91.97209167480469,103.5486831665039,85.09392547607422,117.54000091552734,1956.65,913.38,298.88,321.12,317.79,1352.83,41.743499755859375,279.79
2014-09-18,339.86,381.82,244.82,35.69377899169922,95.95036315917969,433.14,540.27,92.6651382446289,103.47159576416016,85.24627685546875,117.77999877929688,1959.1,917.93,298.79,321.1,317.63,1354.82,41.289398193359375,279.75
2014-09-19,,,,35.61784744262695,95.95906829833984,,,92.60770416259766,103.60010528564453,85.57988739013672,117.08999633789062,,,,,,,41.202301025390625,
2014-09-21,339.97,382.09,244.79,,,433.52,541.03,,,,,1971.47,916.99,298.8,321.1,317.52,1362.68,,279.72
2014-09-22,340.86,382.94,244.73,35.379451751708984,95.95906829833984,434.67,543.67,91.74628448486328,103.78853607177734,85.65966033935547,116.8499984741211,1971.62,917.08,298.99,321.12,317.64,1364.68,40.83250045776367,279.67
2014-09-23,341.09,383.25,244.74,35.29998016357422,95.95906829833984,435.06,544.64,91.49616241455078,103.86563110351562,85.79747772216797,117.5999984741211,1965.01,908.96,299.27,321.19,317.97,1356.59,41.035400390625,279.73
2014-09-24,,,,35.529541015625,95.95906829833984,,,92.47801208496094,103.728515625,85.5943832397461,117.05000305175781,,,,,,,41.4739990234375,
2014-09-25,,,,34.752559661865234,95.96778106689453,,,90.53288269042969,103.99413299560547,85.8482437133789,117.38999938964844,,,,,,,41.470001220703125,
2014-09-26,,,,35.13223648071289,95.96778106689453,,,91.49616241455078,103.81423950195312,85.65966033935547,117.05999755859375,,,,,,,41.69409942626953,
2014-09-28,341.86,383.99,244.66,,,436.07,546.76,,,,,1965.9,907.35,299.46,321.26,318.0,1355.47,,279.64
2014-09-29,341.51,383.9,244.59,35.12340545654297,95.96778106689453,435.95,546.4,91.37579345703125,103.95988464355469,85.6234130859375,117.02999877929688,1956.25,903.5,299.4,321.31,317.74,1350.26,42.03559875488281,279.68
2014-09-30,341.15,383.55,244.59,35.22936248779297,95.93301391601562,435.48,545.39,91.50544738769531,103.92559814453125,85.74669647216797,116.20999908447266,1966.46,899.88,299.27,321.3,317.63,1366.36,40.79999923706055,279.66
2014-10-01,341.61,384.09,244.59,34.681922912597656,95.95036315917969,436.21,546.95,90.04193115234375,104.39469146728516,86.26679992675781,116.7699966430664,1959.3,894.21,299.39,321.38,317.78,1359.49,40.290000915527344,279.66
2014-10-02,341.7,384.19,244.57,34.664268493652344,95.95036315917969,436.35,547.36,90.04193115234375,104.274658203125,86.2594985961914,116.73999786376953,1968.9,890.42,299.58,321.35,317.93,1363.74,40.35649871826172,279.64
2014-10-03,,,,34.946815490722656,95.93301391601562,,,90.93115997314453,104.1717529296875,86.50686645507812,114.61000061035156,,,,,,,39.80739974975586,
2014-10-05,341.87,384.13,244.57,,,436.28,547.33,,,,,1979.07,908.79,299.9,321.31,318.23,1377.32,,279.62
2014-10-06,342.42,384.65,244.52,34.95563507080078,95.94168853759766,436.97,548.91,90.73666381835938,104.32608032226562,86.55047607421875,116.02999877929688,1971.05,907.9,300.26,321.37,318.76,1371.09,40.15800094604492,279.63
2014-10-07,342.58,385.02,244.46,34.40821075439453,95.95036315917969,437.44,549.94,89.4491195678711,104.64337158203125,86.86321258544922,116.36000061035156,1977.71,904.84,300.6,321.42,319.14,1372.87,39.60900115966797,279.72
2014-10-08,,,,35.06159591674805,95.95036315917969,,,91.1905288696289,105.02073669433594,87.3069076538086,117.47000122070312,,,,,,,38.75,
2014-10-09,,,,34.47883987426758,95.95906829833984,,,89.71778106689453,104.89209747314453,86.94322967529297,117.63999938964844,,,,,,,38.689998626708984,
2014-10-10,,,,33.595909118652344,95.95036315917969,,,87.47620391845703,105.02928924560547,87.01599884033203,117.58999633789062,,,,,,,37.75,
2014-10-12,344.01,386.54,244.37,,,439.49,554.24,,,,,1936.07,879.98,300.93,321.61,319.61,1340.69,,279.66
2014-10-13,343.69,386.52,244.25,33.225067138671875,95.95906829833984,439.45,554.26,86.10533905029297,105.4495620727539,87.2414779663086,118.5199966430664,1947.84,883.18,300.86,321.63,319.54,1344.1,37.900001525878906,279.67
